Age,Income,SpendingScore,Segment
56,53496,8,High
69,80692,26,Middle
46,109084,51,Middle
32,112920,45,Low
60,143555,44,High
25,64425,5,Low
38,58756,70,Low
56,38888,26,Low
36,55735,68,Low
40,67295,19,High
28,137474,84,Middle
28,134352,97,Low
41,103042,20,Middle
53,105999,12,High
57,37955,47,High
41,57841,1,Middle
20,90640,90,High
39,85510,14,High
19,54911,64,Middle
41,79031,38,Low
61,108726,37,Middle
47,27357,11,High
55,52479,77,Low
19,81476,3,High
38,64811,33,Low
50,56208,6,Low
29,40150,50,Low
39,91180,10,Low
61,63286,5,High
42,132856,23,High
66,88450,10,High
44,41352,44,Middle
59,75069,2,Low
45,131888,13,Middle
33,130448,40,Middle
32,34397,2,Middle
64,61555,84,Low
68,66959,65,Middle
61,20728,63,Middle
69,70517,73,High
20,139180,17,High
54,86234,9,Middle
68,59954,75,Middle
24,67280,15,Middle
38,99459,24,Low
26,36779,38,High
56,83932,35,High
35,92936,94,Middle
21,44466,95,Low
42,56939,49,Low
31,89896,69,Middle
67,55270,62,Low
26,79163,60,High
43,102637,50,Low
19,71934,78,Low
37,84895,75,High
45,52307,9,Middle
64,74098,34,Low
24,80921,76,Low
61,25486,99,Low
25,28335,35,Middle
64,106900,1,Low
52,146020,40,Middle
31,141954,64,High
34,122795,22,Low
53,109112,60,High
67,117203,64,High
57,31130,93,Low
21,107508,72,High
19,125955,11,Middle
23,138324,14,High
59,80566,60,Middle
21,86703,30,Middle
46,47192,35,Middle
35,21062,85,High
43,104076,37,Middle
61,109780,5,Middle
51,41545,83,High
27,41689,78,Low
53,31174,26,Low
31,108461,62,Low
48,146174,4,Low
65,123033,89,Low
32,29348,42,High
25,43714,89,Low
31,58102,18,Middle
40,94460,40,Low
57,122634,72,High
38,109930,39,High
33,26801,14,Middle
62,123150,32,High
35,92267,51,Low
64,68136,38,High
41,43625,97,Low
43,102873,23,High
42,120843,63,Low
62,92592,15,Middle
58,97052,97,Middle
46,64261,25,Low
32,21542,17,Low
62,41677,97,Low
18,66732,66,Low
42,70343,78,Middle
24,59081,53,Low
26,82856,51,Low
41,113105,39,Low
